CODE_COM;APL_EHPA;APL_RA;APL_SAPA
2B124;38499.52;0.0;0.0
2B157;16742.89;0.0;0.0
2B170;7151.88;0.0;0.0
2B192;24695.28;0.0;255.8
2B223;28082.61;0.0;0.0
2B236;25926.11;0.0;0.0
2B248;31548.53;0.0;4655.72
2B274;17836.42;0.0;20610.13
2B301;25248.8;0.0;0.0
2B317;40750.33;0.0;0.0
2B332;29501.88;0.0;530.89
2B361;18796.27;0.0;530.89
2B365;19095.33;0.0;0.0
30012;62020.01;818.34;657.27
30016;32972.74;0.0;569.63
30070;61965.02;351.46;327.44
30087;66054.79;102.11;323.72
30104;64967.8;507.76;2718.1
30117;53555.04;547.66;3789.42
30132;93604.29;226.63;237.74
30168;37749.15;102.11;922.53
30172;60319.8;55.16;266.31
30188;73323.75;400.73;2681.25
30209;77374.16;667.79;1028.24
30228;48781.16;318.15;2538.7
30242;42283.37;241.18;181.95
30298;57922.89;189.61;129.58
30302;53060.09;243.06;417.89
30323;43702.25;226.63;728.39
31003;65481.11;360.85;1069.38
31009;127770.84;0.0;825.97
31011;33922.57;0.0;43.06
31045;168709.21;95.4;1585.29
31053;71916.39;487.37;1321.21
31054;73982.29;669.6;431.78
31058;69215.13;77.52;225.48
31063;45052.36;330.64;837.65
31067;70508.17;0.0;18.9
31078;95271.52;95.4;144.48
31097;71968.38;1235.3;675.41
31103;52397.93;30.1;365.16
31105;51202.56;519.03;540.11
31115;52450.42;223.44;1073.06
31118;103417.6;432.62;2286.36
31135;93998.95;360.73;552.1
31153;102885.74;360.73;567.76
31167;93488.6;95.4;1185.52
31174;80417.78;0.0;1556.4
31182;105521.51;421.57;1375.61
31203;97770.05;425.18;1706.35
31209;78481.87;51.02;359.48
31215;42806.51;354.46;193.29
31220;73458.82;102.3;98.09
31225;83435.89;223.44;506.35
31233;73751.5;374.15;1146.12
31237;118657.22;107.19;1853.63
31238;176029.57;95.4;1585.29
31245;66621.08;0.0;18.9
31246;140065.58;426.03;1556.4
31255;195315.19;95.4;1585.29
31265;78772.25;0.0;392.76
31273;81275.79;580.76;1604.61
31308;173999.18;95.4;1585.29
31312;68944.0;30.1;513.87
31314;92072.2;330.64;1191.71
31316;97784.61;0.0;685.72
31318;81075.01;330.64;623.16
31321;88555.96;330.64;389.77
31345;72052.45;132.29;244.18
31356;74963.18;268.63;1181.39
31361;78883.36;44.07;722.84
31372;114466.49;107.19;1556.4
31374;77619.2;77.52;179.57
31390;180699.73;95.4;1585.29
31391;134991.73;330.64;1599.02
31408;94665.86;0.0;1185.52
31410;97351.06;490.56;1550.52
31412;98567.68;95.4;802.91
31430;180225.38;95.4;1325.77
31442;69495.22;30.1;163.19
31452;104866.26;95.4;1166.63
31461;77518.95;0.0;1556.4
31465;58267.34;0.0;0.0
31482;55088.16;107.19;876.44
31490;80553.58;428.93;1488.67
31514;71211.04;850.23;467.32
31529;46895.0;330.64;837.65
31551;48365.8;180.62;170.43
31563;82374.22;353.65;1893.68
31565;167497.74;95.4;1522.62
31574;99090.85;425.18;1462.62
31581;75270.47;197.68;910.69
31587;87716.32;353.65;1347.83
31592;61930.09;179.71;355.37
32018;84732.83;0.0;857.0
32022;42846.58;0.0;436.41
32035;87727.28;0.0;273.29
32049;93311.06;0.0;2234.94
32076;89448.02;130.52;1411.73
32081;56015.34;0.0;1628.51
32086;76480.89;412.84;819.16
32101;76058.31;0.0;541.47
32117;131041.13;130.52;1106.5
32124;80733.61;0.0;1530.94
32126;60409.81;412.84;819.16
32134;60209.05;0.0;666.54
32153;74603.23;130.52;953.85
32158;93227.72;0.0;784.21
32166;66802.38;0.0;422.36
32180;83913.04;0.0;865.62
32182;40443.12;0.0;457.88
32195;53051.02;0.0;250.84
32200;79751.98;254.08;827.91
32205;78519.1;412.84;4231.69
32208;106685.55;0.0;1038.76
32215;71504.48;543.36;1143.11
32222;106520.86;0.0;968.24
32223;83105.96;0.0;541.47
32224;91107.53;0.0;584.29
32228;100423.32;95.4;1118.12
32233;93806.92;289.28;1808.28
32252;87376.33;412.84;819.16
32256;95041.99;543.36;4022.25
32261;71100.18;0.0;1819.63
32267;76990.24;254.08;1044.01
32268;82800.28;51.02;719.57
32272;86582.17;0.0;526.67
32277;65121.72;0.0;1656.88
32293;73846.26;543.36;3911.49
32332;71737.22;0.0;3573.17
32333;71305.59;214.53;933.31
32338;63756.35;0.0;474.15
32343;57437.68;123.56;3573.17
32395;78670.72;51.82;515.19
32396;65604.74;51.82;594.32
32420;61202.17;0.0;1648.55
32422;44575.76;0.0;3345.18
32425;68581.06;51.02;711.18
33013;126022.15;1726.73;1533.98
33015;72888.27;991.21;1129.2
33210;56207.91;1004.64;778.91
33218;59040.37;688.95;999.79
33287;83996.81;1774.05;1883.24
33344;66286.17;1118.31;850.82
33347;65812.13;697.79;1113.39
33357;73226.95;1201.49;1992.62
33391;69567.99;1037.06;1486.67
33395;50614.65;1171.29;2615.51
33405;49957.65;693.06;246.66
33408;70047.42;589.08;831.79
33429;79564.11;660.36;942.23
33463;78020.65;1679.05;2248.9
33515;49545.45;374.35;1077.01
33530;75674.95;391.26;906.21
33545;62520.47;1171.29;2615.51
33553;105457.44;1380.86;2265.41
33555;80776.07;826.12;676.22
34001;73063.96;0.0;185.79
36118;88185.25;229.06;4305.33
36139;98420.14;229.06;4305.33
36162;82316.38;0.0;0.0
36198;116598.29;229.06;4225.29
36205;76213.86;78.65;756.1
36218;103155.2;0.0;507.25
36229;87440.05;183.92;54.77
37003;98708.43;499.75;489.69
37013;60648.15;627.1;694.61
37020;92230.5;399.37;1407.77
37068;79191.17;713.0;172.11
37073;84298.89;347.34;386.65
37078;92639.43;376.58;2350.42
37085;77144.08;385.32;746.88
37158;69527.26;782.23;1962.29
37159;95372.32;1026.44;3139.34
37169;89442.41;609.17;477.9
37173;126951.28;0.0;44.61
37180;50216.07;258.95;2287.96
37190;48289.92;335.27;241.81
37195;132756.65;1137.03;2470.05
37200;79296.93;235.89;1727.31
37216;59979.3;106.58;2615.64
39547;86420.22;611.26;99.43
39565;91285.11;172.39;123.14
39567;151173.94;1108.86;1825.96
39586;73680.8;743.04;266.84
40007;61159.65;0.0;1713.87
40058;79213.08;0.0;1003.73
40100;75236.29;0.0;235.99
40119;93957.19;0.0;1223.89
40133;94998.4;202.29;1344.34
40140;89743.58;0.0;178.85
40147;100469.55;0.0;431.35
40222;85500.56;164.02;2202.93
40223;30796.42;0.0;729.48
40225;56241.59;38.85;1308.68
40331;110403.1;0.0;256.56
41013;73463.83;746.2;239.88
41161;78483.4;253.84;0.0
41166;61916.91;148.01;0.0
41169;54746.48;698.29;888.37
41282;100306.1;263.9;54.77
41285;82667.03;345.31;77.09
43230;94964.59;128.16;1846.31
43237;101291.66;0.0;2012.82
44037;127306.75;424.71;1157.27
44059;104362.36;134.47;136.08
44105;79291.77;118.78;175.8
44197;66676.53;0.0;175.8
44201;117641.54;359.5;1789.75
44222;87654.81;186.34;243.12
45013;76267.59;105.92;707.77
45023;89198.1;385.49;1582.03
45027;87522.29;471.3;1107.95
45028;138822.18;679.94;1393.4
45040;130260.03;853.76;2402.6
45044;63771.7;344.47;1052.05
45054;81814.7;105.92;707.77
45062;98955.78;595.37;1097.39
45063;64633.01;255.75;380.16
45064;66514.68;1109.51;1490.79
45065;54470.26;286.58;572.42
45066;81145.71;343.21;1045.63
45076;104665.4;546.0;857.52
45102;124375.52;191.0;1378.52
45120;77172.94;385.49;1582.03
45136;86961.17;546.0;149.92
45146;89481.39;673.86;390.92
45162;27662.87;78.13;613.94
45183;66674.75;344.47;774.4
45186;104911.01;541.21;1276.14
45190;55015.23;236.72;609.48
45193;63381.8;328.55;387.77
45195;78672.71;436.07;644.56
45199;77706.79;440.41;539.61
45201;56292.79;355.0;144.05
45206;99051.78;389.0;1121.25
45207;90864.09;389.0;1154.71
45209;100029.27;357.95;905.35
45213;72956.85;0.0;655.68
45225;75020.39;155.78;604.9
45231;66608.48;263.07;1118.18
