annee;champ;unite;sexe;age;nombre
2012;mco;patient;1;" 10";44
2012;mco;patient;1;" 11";67
2012;mco;patient;1;" 12";119
2012;mco;patient;1;" 13";145
2012;mco;patient;1;" 14";305
2012;mco;patient;1;" 15";403
2012;mco;patient;1;" 16";478
2012;mco;patient;1;" 17";531
2012;mco;patient;1;" 18";512
2012;mco;patient;1;" 19";559
2012;mco;patient;1;" 20";592
2012;mco;patient;1;" 21";613
2012;mco;patient;1;" 22";577
2012;mco;patient;1;" 23";598
2012;mco;patient;1;" 24";553
2012;mco;patient;1;" 25";592
2012;mco;patient;1;" 26";564
2012;mco;patient;1;" 27";631
2012;mco;patient;1;" 28";610
2012;mco;patient;1;" 29";654
2012;mco;patient;1;" 30";636
2012;mco;patient;1;" 31";597
2012;mco;patient;1;" 32";630
2012;mco;patient;1;" 33";586
2012;mco;patient;1;" 34";584
2012;mco;patient;1;" 35";614
2012;mco;patient;1;" 36";670
2012;mco;patient;1;" 37";729
2012;mco;patient;1;" 38";794
2012;mco;patient;1;" 39";811
2012;mco;patient;1;" 40";868
2012;mco;patient;1;" 41";901
2012;mco;patient;1;" 42";799
2012;mco;patient;1;" 43";772
2012;mco;patient;1;" 44";774
2012;mco;patient;1;" 45";808
2012;mco;patient;1;" 46";755
2012;mco;patient;1;" 47";742
2012;mco;patient;1;" 48";722
2012;mco;patient;1;" 49";689
2012;mco;patient;1;" 50";659
2012;mco;patient;1;" 51";623
2012;mco;patient;1;" 52";609
2012;mco;patient;1;" 53";515
2012;mco;patient;1;" 54";481
2012;mco;patient;1;" 55";458
2012;mco;patient;1;" 56";441
2012;mco;patient;1;" 57";382
2012;mco;patient;1;" 58";376
2012;mco;patient;1;" 59";307
2012;mco;patient;1;" 60";255
2012;mco;patient;1;" 61";259
2012;mco;patient;1;" 62";230
2012;mco;patient;1;" 63";238
2012;mco;patient;1;" 64";181
2012;mco;patient;1;" 65";199
2012;mco;patient;1;" 66";149
2012;mco;patient;1;" 67";125
2012;mco;patient;1;" 68";123
2012;mco;patient;1;" 69";113
2012;mco;patient;1;" 70";105
2012;mco;patient;1;" 71";83
2012;mco;patient;1;" 72";89
2012;mco;patient;1;" 73";101
2012;mco;patient;1;" 74";84
2012;mco;patient;1;" 75";101
2012;mco;patient;1;" 76";85
2012;mco;patient;1;" 77";73
2012;mco;patient;1;" 78";93
2012;mco;patient;1;" 79";90
2012;mco;patient;1;" 80";93
2012;mco;patient;1;" 81";103
2012;mco;patient;1;" 82";86
2012;mco;patient;1;" 83";83
2012;mco;patient;1;" 84";96
2012;mco;patient;1;" 85";86
2012;mco;patient;1;" 86";76
2012;mco;patient;1;" 87";77
2012;mco;patient;1;" 88";58
